"stim_id","twister","exp_cond","cb_cond","vowel","is_practice_trial"
"50","iLtLmL iRtLmR rLtLrR","onset","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"80","mRtLiR mLtLrL iLtLrR","onset","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"65","iLtLrL mLtLmR rRtLiR","onset","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"19","mLtLrR iLtLrL mRtLiR","onset","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"109","iRtRmR mLtRrR rLtRiL","onset","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"168","iLtRrR mLtRrL iRtRmR","onset","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"166","iLtRrL mRtRmL iRtRrR","onset","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"174","iRtRmL mRtRrR iLtRrL","onset","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"262","iLtLmR rLtLiR rRtLmL","onset","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"198","iLtLiR rRtLmR rLtLmL","onset","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"245","iLtLmL rRtLiR rLtLmR","onset","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"283","rLtLmL iLtLmR rRtLiR","onset","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"375","iLtRmL iRtRrR mRtRrL","onset","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"388","rRtRiL mLtRrL mRtRiR","onset","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"302","mRtRiL rRtRrL iRtRmL","onset","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"299","mRtRiL iRtRmL rLtRrR","onset","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"391","iRtLrR iLtLmL mRtLrL","onset","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"461","iRtLrR mRtLmL iLtLrL","onset","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"416","mRtLrR iLtLmL iRtLrL","onset","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"446","iLtLiR rLtLmL mRtLrR","onset","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"557","iLtRmL rRtRrL mRtRiR","onset","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"501","iLtRiR mRtRmL rRtRrL","onset","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"551","iLtRmL mRtRrL rRtRiR","onset","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"552","mLtRiR iLtRrL rRtRmR","onset","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"605","mRtLiL rLtLrR iRtLmL","onset","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"663","rLtLrR iRtLiL mLtLmR","onset","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"679","rLtLiL rRtLmR iRtLmL","onset","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"651","rLtLiL iRtLrR mRtLmL","onset","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"706","iLtRiR mLtRrR mRtRrL","onset","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"697","mLtRiR iLtRrL rRtRmR","onset","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"723","iLtRiR mRtRrL rRtRmL","onset","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"735","mRtRiR rRtRrL iLtRmL","onset","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"815","iRtLmL rLtLiL mRtLrR","onset","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"861","iLtLrR iRtLrL mLtLmR","onset","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"800","iRtLiL mLtLrR mRtLrL","onset","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"847","iRtLrR mLtLmR rLtLiL","onset","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"905","mLtRmR iLtRiR rRtRrL","onset","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"947","mLtRrR mRtRrL iLtRiR","onset","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"912","rRtRiR mLtRrL iLtRmR","onset","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"882","iLtRrR mLtRiR rLtRmR","onset","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"973","iLtLrL iRtLrR mLtLmR","onset","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"1041","iRtLmR rRtLmL iLtLrL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"1054","iRtLiL rRtLmR rLtLmL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"1062","iRtLrR mLtLmR rLtLiL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"1113","rLtRmR iRtRrR mLtRiL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-R",FALSE
"1080","rLtRiR rRtRmR mLtRiL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-R",FALSE
"1072","mRtRmL iLtRiR rLtRrR","onset","thumb-L->index-R; thumb-R->ring-L","thumb-R",FALSE
"1119","mLtRrR mRtRiR rLtRiL","onset","thumb-L->index-R; thumb-R->ring-L","thumb-R",FALSE
"1245","iLtLrR mLtLiR mRtLrL","onset","thumb-L->middle-L; thumb-R->index-R","thumb-L",FALSE
"1244","rLtLmR mLtLiR iLtLrR","onset","thumb-L->middle-L; thumb-R->index-R","thumb-L",FALSE
"1232","rLtLmR mLtLiL rRtLiR","onset","thumb-L->middle-L; thumb-R->index-R","thumb-L",FALSE
"1251","mLtLiR rRtLrL mRtLiL","onset","thumb-L->middle-L; thumb-R->index-R","thumb-L",FALSE
"1266","iRtRmL rRtRmR iLtRrL","onset","thumb-L->middle-L; thumb-R->index-R","thumb-R",FALSE
"1344","rRtRmL iRtRiL rLtRmR","onset","thumb-L->middle-L; thumb-R->index-R","thumb-R",FALSE
"1342","iLtRmL mRtRrL iRtRrR","onset","thumb-L->middle-L; thumb-R->index-R","thumb-R",FALSE
"1287","iRtRrR mLtRmR iLtRrL","onset","thumb-L->middle-L; thumb-R->index-R","thumb-R",FALSE
"1388","rLtLrR iRtLmR mLtLiL","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-L",FALSE
"1433","mRtLrL rRtLiL mLtLiR","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-L",FALSE
"1375","iLtLiR rLtLmR mLtLrR","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-L",FALSE
"1384","iRtLrR mLtLrL mRtLiL","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-L",FALSE
"1533","iRtRrR iLtRrL mRtRmL","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-R",FALSE
"1473","rRtRiL iRtRrL mRtRmL","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-R",FALSE
"1542","rLtRiL mRtRmL iRtRrR","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-R",FALSE
"1457","mLtRrL mRtRiR rRtRiL","onset","thumb-L->middle-L; thumb-R->middle-R","thumb-R",FALSE
"1608","rRtLrL mLtLiR mRtLiL","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-L",FALSE
"1632","iRtLrL iLtLrR mLtLmR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-L",FALSE
"1563","iRtLrR mLtLrL iLtLmR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-L",FALSE
"1566","rLtLmR mLtLrR iLtLiR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-L",FALSE
"1720","rRtRiL mLtRmR rLtRiR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-R",FALSE
"1669","mLtRiL rLtRmR rRtRiR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-R",FALSE
"1658","iLtRrL rRtRmR mLtRiR","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-R",FALSE
"1687","rRtRiR rLtRiL mRtRmL","onset","thumb-L->middle-L; thumb-R->ring-R","thumb-R",FALSE
"1800","mRtLiL rRtLrL iRtLmL","onset","thumb-L->middle-R; thumb-R->index-L","thumb-L",FALSE
"1828","mRtLiR iLtLrL rRtLmL","onset","thumb-L->middle-R; thumb-R->index-L","thumb-L",FALSE
"1792","iLtLrR mRtLmL rLtLiR","onset","thumb-L->middle-R; thumb-R->index-L","thumb-L",FALSE
"1824","rLtLrR iLtLiR mRtLmL","onset","thumb-L->middle-R; thumb-R->index-L","thumb-L",FALSE
"1847","rLtRiR mLtRmR iLtRrR","onset","thumb-L->middle-R; thumb-R->index-L","thumb-R",FALSE
"1933","mRtRrR iLtRrL mLtRiR","onset","thumb-L->middle-R; thumb-R->index-L","thumb-R",FALSE
"1882","mRtRmL iLtRrR iRtRrL","onset","thumb-L->middle-R; thumb-R->index-L","thumb-R",FALSE
"1870","iLtRmR iRtRmL rRtRrL","onset","thumb-L->middle-R; thumb-R->index-L","thumb-R",FALSE
"1991","mRtLrL iLtLrR mLtLiR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-L",FALSE
"2012","mRtLrR rLtLmL iLtLiR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-L",FALSE
"2010","iRtLrR rLtLmL mRtLiL","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-L",FALSE
"1948","mLtLrL mRtLiL iRtLrR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-L",FALSE
"2096","rRtRrL mLtRmR iRtRiL","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-R",FALSE
"2115","rLtRiR iLtRrR mLtRmR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-R",FALSE
"2119","mLtRiL mRtRrR rLtRiR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-R",FALSE
"2061","mRtRiR mLtRrL iLtRrR","onset","thumb-L->middle-R; thumb-R->middle-L","thumb-R",FALSE
"2206","mRtLrL iRtLrR mLtLiL","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-L",FALSE
"2148","mLtLrR iLtLiR mRtLrL","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-L",FALSE
"2171","mLtLrR iRtLiL mRtLrL","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-L",FALSE
"2200","rLtLiL mRtLiR rRtLmL","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-L",FALSE
"2278","rLtRmL iLtRrR iRtRmR","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-R",FALSE
"2312","rRtRiL mLtRmR rLtRiR","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-R",FALSE
"2265","mRtRmL iLtRiR rLtRrR","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-R",FALSE
"2243","rRtRiL rLtRiR mLtRmR","onset","thumb-L->middle-R; thumb-R->ring-L","thumb-R",FALSE
"2397","iRtLmL rRtLiL rLtLmR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-L",FALSE
"2398","rLtLiL mRtLmL rRtLiR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-L",FALSE
"2386","iLtLiR mLtLrR rLtLmR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-L",FALSE
"2404","mLtLmR rRtLiR rLtLiL","onset","thumb-L->ring-L; thumb-R->index-R","thumb-L",FALSE
"2432","iRtRiL mLtRmR rLtRrR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-R",FALSE
"2453","rLtRrR iRtRiL mLtRmR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-R",FALSE
"2509","iLtRrL iRtRmR mLtRrR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-R",FALSE
"2467","iRtRiL mRtRrL mLtRrR","onset","thumb-L->ring-L; thumb-R->index-R","thumb-R",FALSE
"2607","rLtLmL iRtLrR mRtLiL","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-L",FALSE
"2618","iLtLrR mLtLmR rLtLiR","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-L",FALSE
"2619","mRtLmL rLtLiR iLtLrR","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-L",FALSE
"2602","mRtLrR iRtLmL rLtLiL","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-L",FALSE
"2708","mLtRrR rLtRiR mRtRiL","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-R",FALSE
"2666","rRtRmL rLtRiL mRtRiR","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-R",FALSE
"2669","mLtRrR mRtRiR iLtRrL","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-R",FALSE
"2625","mRtRrR iLtRmL rLtRiR","onset","thumb-L->ring-L; thumb-R->middle-R","thumb-R",FALSE
"2767","rLtLiL mLtLiR rRtLmR","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-L",FALSE
"2813","iLtLrR mRtLiR rLtLmL","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-L",FALSE
"2755","rLtLmR mLtLiL iRtLrR","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-L",FALSE
"2743","mLtLiL iRtLmR rLtLrR","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-L",FALSE
"2889","iLtRmR mLtRiR rRtRrL","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-R",FALSE
"2836","rRtRiR iLtRmR rLtRmL","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-R",FALSE
"2842","mLtRmR rRtRrL iRtRiL","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-R",FALSE
"2863","mRtRiL iRtRrL rRtRmL","onset","thumb-L->ring-L; thumb-R->ring-R","thumb-R",FALSE
"2993","rLtLmL iLtLiR rRtLmR","onset","thumb-L->ring-R; thumb-R->index-L","thumb-L",FALSE
"2997","rRtLmL iLtLrL iRtLmR","onset","thumb-L->ring-R; thumb-R->index-L","thumb-L",FALSE
"2925","mRtLmL iLtLiR rRtLrL","onset","thumb-L->ring-R; thumb-R->index-L","thumb-L",FALSE
"2970","iLtLrL iRtLmR rRtLmL","onset","thumb-L->ring-R; thumb-R->index-L","thumb-L",FALSE
"3054","iRtRmL mRtRrL iLtRrR","onset","thumb-L->ring-R; thumb-R->index-L","thumb-R",FALSE
"3088","rRtRrL mRtRiR iLtRmL","onset","thumb-L->ring-R; thumb-R->index-L","thumb-R",FALSE
"3078","rLtRrR mRtRmL iLtRiR","onset","thumb-L->ring-R; thumb-R->index-L","thumb-R",FALSE
"3070","rLtRiR mLtRrR iLtRmR","onset","thumb-L->ring-R; thumb-R->index-L","thumb-R",FALSE
"3139","mLtLiL rRtLmR iRtLrL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-L",FALSE
"3143","rRtLiR rLtLiL mRtLmL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-L",FALSE
"3173","rRtLmL rLtLiR mRtLiL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-L",FALSE
"3189","rLtLiR mRtLiL rRtLmL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-L",FALSE
"3276","iRtRrL mLtRrR iLtRmR","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-R",FALSE
"3293","mRtRiR mLtRiL rLtRrR","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-R",FALSE
"3271","mLtRrR rLtRiR mRtRiL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-R",FALSE
"3253","mLtRiR rLtRmR rRtRiL","onset","thumb-L->ring-R; thumb-R->middle-L","thumb-R",FALSE
"3376","iLtLmR rLtLmL rRtLiR","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-L",FALSE
"3312","iLtLmR rRtLrL iRtLmL","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-L",FALSE
"3345","iLtLmR rLtLiR rRtLmL","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-L",FALSE
"3305","iRtLiL mLtLrL rRtLmR","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-L",FALSE
"3421","iLtRrR iRtRmL rLtRmR","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-R",FALSE
"3476","rLtRmR iLtRrR iRtRmL","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-R",FALSE
"3479","mLtRiR mRtRrR rLtRiL","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-R",FALSE
"3469","mRtRmL rRtRiR rLtRiL","onset","thumb-L->ring-R; thumb-R->ring-L","thumb-R",FALSE
"3504","rRtLiL mLtLmR rLtLiR","coda","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"3554","rLtLmR rRtLmL iRtLiL","coda","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"3575","rRtLiL mLtLrL iRtLmR","coda","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"3517","rLtLmR iRtLmL rRtLiL","coda","thumb-L->index-L; thumb-R->index-R","thumb-L",FALSE
"3683","rRtRmR iLtRiR mLtRrL","coda","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"3666","rLtRiL rRtRmL mRtRiR","coda","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"3600","rRtRmL rLtRiL mRtRiR","coda","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"3606","mRtRiR rRtRrL iLtRmL","coda","thumb-L->index-L; thumb-R->index-R","thumb-R",FALSE
"3778","iRtLiL rLtLrR mLtLmR","coda","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"3720","rRtLiR rLtLmR mLtLiL","coda","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"3714","mRtLiR mLtLiL rRtLrL","coda","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"3781","mRtLiL rLtLmL iRtLrR","coda","thumb-L->index-L; thumb-R->middle-R","thumb-L",FALSE
"3863","rRtRmR iLtRmL rLtRiR","coda","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"3799","mLtRiL rLtRrR iRtRmR","coda","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"3839","rRtRrL iLtRmL iRtRmR","coda","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"3838","iLtRiR rRtRmR mLtRrL","coda","thumb-L->index-L; thumb-R->middle-R","thumb-R",FALSE
"3951","rRtLiL mLtLmR iRtLrL","coda","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"3918","rLtLiR mRtLiL mLtLrR","coda","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"3938","rLtLiL mRtLiR rRtLmL","coda","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"3961","iRtLmR rLtLiL mLtLrR","coda","thumb-L->index-L; thumb-R->ring-R","thumb-L",FALSE
"4067","mLtRmR iLtRiR rLtRrR","coda","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"4034","rLtRrR mRtRmL iRtRiL","coda","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"3996","mLtRiR iLtRrR rLtRmR","coda","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"4019","iRtRrR mRtRiL rLtRmL","coda","thumb-L->index-L; thumb-R->ring-R","thumb-R",FALSE
"4126","iLtLiR mLtLrL rRtLmR","coda","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"4139","rLtLmL iLtLrR mRtLiR","coda","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"4093","rLtLiR rRtLmR iLtLmL","coda","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"4117","rLtLrR iLtLmR mLtLiR","coda","thumb-L->index-R; thumb-R->index-L","thumb-L",FALSE
"4215","rRtRmL mRtRiL iRtRrL","coda","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"4200","mLtRiR rRtRiL rLtRmR","coda","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"4267","rLtRmR rRtRiL mLtRiR","coda","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"4219","mRtRiL iRtRrL mLtRrR","coda","thumb-L->index-R; thumb-R->index-L","thumb-R",FALSE
"4333","mLtLiR mRtLiL rLtLrR","coda","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"4324","mLtLiR rLtLmR iLtLrR","coda","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"4290","mRtLiR mLtLiL rRtLrL","coda","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"4273","mLtLrL mRtLrR iLtLiR","coda","thumb-L->index-R; thumb-R->middle-L","thumb-L",FALSE
"4401","iLtRrR iRtRmR rLtRmL","coda","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"4380","iRtRmR iLtRrL rRtRmL","coda","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"4383","mRtRmL iLtRiR rLtRrR","coda","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"4388","rRtRiR rLtRiL mRtRmL","coda","thumb-L->index-R; thumb-R->middle-L","thumb-R",FALSE
"4482","iLtLiR rLtLmL mRtLrR","coda","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"4527","mRtLmL rRtLrL iLtLiR","coda","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"4493","mLtLiL rLtLiR rRtLmR","coda","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
"4530","rLtLmR mLtLrR iLtLiR","coda","thumb-L->index-R; thumb-R->ring-L","thumb-L",FALSE
