"stim_id","twister","exp_cond","cb_cond","vowel"
"1","rRtLrL iLtLmR iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"2","iLtLmL mRtLrL iRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"3","iLtLrL mRtLmL iRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"4","mRtLmL rRtLiL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"5","mLtLmR iLtLrR iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"6","rLtLmR iRtLiL rRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"7","iRtLmL mRtLrR rLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"8","iLtLmR iRtLrL mLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"9","iRtLiL mRtLrL rRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"10","iLtLmR rRtLmL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"11","rRtLmR iRtLiL rLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"12","rRtLmR rLtLiL iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"13","rRtLmR mLtLiL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"14","rRtLrL iRtLiL mLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"15","rLtLiL iRtLmL rRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"16","rRtLrL iRtLmR iLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"17","rRtLmL iRtLrL mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"18","mRtLrL rRtLiL iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"19","iRtLiL rLtLmR mLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"20","mRtLiL mLtLrR iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"21","mLtLmR iRtLrL rRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"22","iRtLrL mRtLrR mLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"23","mLtLiL iRtLrL mRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"24","mLtLrR iRtLmR iLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"25","iRtLmL rLtLiL mRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"26","iRtLrR iLtLmR rLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"27","iRtLrR iLtLmL mRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"28","mLtLrL iRtLrR mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"29","rRtLiL mRtLmL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"30","iLtLmL rRtLmR iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"31","iRtLrR rLtLiL mRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"32","iRtLmL iLtLrR mRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"33","mLtLrR iLtLrL iRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"34","iRtLmR rLtLmL iLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"35","rLtLiL mLtLmR iRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"36","mLtLmR rLtLrR iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"37","iRtLrR mRtLrL iLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"38","mLtLrR iLtLmR iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"39","rRtLmR iRtLrL iLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"40","rLtLmR mLtLrR iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"41","mLtLiL iRtLmR rRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"42","mRtLrR rLtLmL iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"43","iRtLrR mLtLiL rLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"44","rLtLrR mLtLmR iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"45","rLtLrR iLtLmL iRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"46","mRtLrR iRtLiL mLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"47","rLtLmL iRtLiL rRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"48","iLtLrR iRtLrL mLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"49","mRtLrR iLtLmL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"50","iRtLiL rRtLmR rLtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"51","rLtLmR iRtLmL rRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"52","mLtLmR rRtLrL iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"53","mRtLrR iRtLrL mLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"54","iRtLrR rLtLmL iLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"55","rLtLrR mRtLiL iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"56","iRtLrR mLtLiL mRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"57","mRtLrR mLtLiL iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"58","iRtLmL mRtLrL iLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"59","mRtLiL iRtLrR mLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"60","iLtLrR iRtLmL rLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"61","mLtLmR iRtLiL rRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"62","rRtLmR iRtLmL rLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"63","mLtLrL iRtLmR iLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"64","iRtLrL rRtLmL mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"65","rRtLrL mLtLiL iRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"66","rLtLrR iRtLmL mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"67","iRtLrL mLtLiL mRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"68","iRtLiL rRtLmR mLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"69","mRtLrL iLtLmL iRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"70","iRtLrR mLtLmR rLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"71","mLtLrL iLtLmR iRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"72","mLtLrL iRtLiL mRtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"73","mLtLmR iRtLiL rLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"74","mLtLiL rRtLmR iRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"75","iRtLrL mLtLrR iLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"76","iRtLmL rRtLrL mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"77","iRtLmR iLtLrR mLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"78","mRtLrR rLtLiL iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"79","iRtLmL rLtLiL rRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"80","mRtLrL iRtLiL mLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"81","mRtLmL rRtLrL iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"82","rLtLmR iRtLmL iLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"83","mRtLmL rLtLrR iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"84","mLtLrL iRtLmR rRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"85","rLtLmR rRtLmL iRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"86","iRtLrR rLtLmL mRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"87","rRtLmL iLtLrL iRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"88","iLtLmR iRtLrR mLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"89","iLtLmR iRtLmL rRtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"90","iLtLrL mRtLrR iRtLmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"91","iRtLrL mLtLmR rRtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"92","iLtLmL iRtLrR rLtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"93","rLtLrR iRtLmR mLtLiL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"94","mRtLmL iRtLiL rLtLrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"95","rRtLmL iRtLmR iLtLrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"96","rLtLiL rRtLmL iRtLmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-L"
"97","iLtRrR iRtRmL rLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"98","mRtRmL rRtRrL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"99","iLtRmL rRtRrL mRtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"100","rRtRmR iRtRrL iLtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"101","iRtRmL iLtRmR rRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"102","mLtRrR mRtRrL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"103","mRtRiR rLtRrR iLtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"104","mRtRiR iLtRrR rLtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"105","mRtRrL iLtRiR rRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"106","iRtRrL iLtRmL mRtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"107","iLtRmL mRtRrL rRtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"108","iRtRmR rLtRmL iLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"109","iLtRrL iRtRmL mRtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"110","iRtRmL rLtRrR iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"111","iLtRmL iRtRrL mRtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"112","iLtRmL rRtRrL iRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"113","iRtRmR mLtRrL iLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"114","iLtRiR rLtRmR rRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"115","mLtRrL iLtRiR rRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"116","rLtRmL iLtRiR rRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"117","rLtRmL mRtRrR iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"118","iRtRmL rRtRrL iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"119","iRtRmR rRtRmL iLtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"120","iRtRmL iLtRrR rLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"121","iRtRrL rRtRmR iLtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"122","rLtRmR iLtRrR iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"123","rLtRmR rRtRmL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"124","iLtRmL mRtRrR iRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"125","rRtRmR iLtRmL rLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"126","rRtRrL iLtRiR mLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"127","iLtRmL rRtRiR mRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"128","iLtRiR rRtRmL mRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"129","iLtRrR iRtRmL mRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"130","rRtRiR iLtRmR mLtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"131","iLtRiR mLtRrL rRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"132","rLtRmL rRtRiR iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"133","rLtRiR iLtRrR mLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"134","mRtRrR iLtRiR mLtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"135","mRtRrR mLtRrL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"136","mRtRrL iLtRrR iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"137","rRtRmR iLtRrL mLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"138","iLtRrR mLtRiR rLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"139","iLtRrR mLtRmR rLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"140","rLtRiR rRtRmL iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"141","iLtRrR rLtRmR iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"142","mLtRrL rRtRmR iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"143","iLtRrR iRtRmR mLtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"144","iRtRmR iLtRrR rLtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"145","mRtRrR iLtRmL rLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"146","iLtRmR mLtRrL rRtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"147","mLtRrL iLtRrR iRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"148","mLtRrR iLtRrL mRtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"149","mLtRmR iLtRiR rLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"150","rRtRmR rLtRmL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"151","iLtRiR mRtRrL mLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"152","iRtRrL rRtRmL iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"153","iRtRrR rLtRmL iLtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"154","mLtRmR rRtRrL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"155","iLtRrR iRtRrL mRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"156","iLtRmL iRtRmR rLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"157","iRtRmL iLtRmR rLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"158","rLtRmL iLtRmR iRtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"159","rLtRrR mLtRmR iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"160","mRtRrR iLtRrL iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"161","iLtRmL rLtRiR rRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"162","iRtRmL rLtRmR iLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"163","iLtRrL mRtRrR iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"164","rRtRmR iLtRrL iRtRmL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"165","iLtRmL rLtRmR rRtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"166","mLtRmR iLtRiR rRtRrL","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"167","iLtRiR rLtRmL rRtRmR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"168","mRtRrL iRtRmL iLtRrR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"169","iLtRmR rRtRrL mLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
"170","rRtRmR mLtRrL iLtRiR","onset","thumb-R->index-L; thumb-L->index-R","thumb-R"
